Track Number,Album Artist,Song,Duration,Composer,Album,Artist,Plays,Year
7 of 15,Switchfoot,Shake This Feeling,3:38,,Where The Light Shines Through,Switchfoot,81,2016
8 of 15,Switchfoot,Bull In A China Shop ,3:59,,Where The Light Shines Through,Switchfoot,53,2016
9 of 15,Switchfoot,Live It Well,3:56,,Where The Light Shines Through,Switchfoot,85,2016
10 of 15,Switchfoot,Looking For America,3:56,,Where The Light Shines Through,Switchfoot,2,2016
11 of 15,Switchfoot,Healer Of Souls,3:47,,Where The Light Shines Through,Switchfoot,2,2016
12 of 15,Switchfoot,Hope Is The Anthem,4:23,,Where The Light Shines Through,Switchfoot,3,2016
13 of 15,Switchfoot,Light And Heavy,3:33,,Where The Light Shines Through,Switchfoot,30,2016
14 of 15,Switchfoot,Begin Forever,3:59,,Where The Light Shines Through,Switchfoot,6,2016
15 of 15,Switchfoot,When Was The Last Time,3:20,,Where The Light Shines Through,Switchfoot,4,2016
1 of 1,Switchfoot,I Won't Let You Go (feat. Lauren Daigle),4:07,,,Switchfoot,8,2017
1,Switchfoot,New Year's Day,3:35,,,Switchfoot,1,2015
,Switchfoot,Live It Well (Live at the Hollywood Palladium),4:32,,,Switchfoot,1,2017
1 of 1,Switchfoot w/ Relient K and Ruth,Rebuild,3:40,,Rebuild - Single,Switchfoot w/ Relient K and Ruth,97,2007
1 of 1,Switchfoot/Lifehouse,Shine Like Gold,3:41,,,Switchfoot/Lifehouse,2,2017
1 of 12,Fiction Family,When She's Near,2:55,Sean Watkins/Jon Foreman,Fiction Family,Fiction Family,22,2009
4 of 12,Fiction Family,Betrayal,3:04,Sean Watkins/Jon Foreman,Fiction Family,Fiction Family,2,2009
6 of 12,Fiction Family,War In My Blood,2:57,Jon Foreman,Fiction Family,Fiction Family,1,2009
8 of 12,Fiction Family,Closer Than You Think,3:12,Jon Foreman/Sean Watkins,Fiction Family,Fiction Family,7,2009
9 of 12,Fiction Family,Please Don't Call It Love,5:11,Sean Watkins/Jon Foreman,Fiction Family,Fiction Family,4,2009
